,IDcliente,CHURN,GENERO_CLIENTE,ADULTO_MAYOR,CON_PAREJA,CLIENTE_CON_DEPENDIENTE,ANTIGUEDAD_CLIENTE,SERVICIO_TELEFONO,MULTIPLES_LINEAS,S_INTERNET,SEGURIDAD_ONLINE,RESPALDO_ONLINE,PROTECCION_DISPOSITIVOS,SOPORTE_TECNICO,TV_STREAMING,PELICULAS_STREAMING,CONTRATO,BOLETA_ELECTRONICA,METODO_PAGO,CARGO_MENSUAL,CARGO_TOTAL,Cuentas_Diarias
1407,2027-WKXMW,No,Mujer,0,Si,No,63,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,Month-to-month,Si,Electronic check,108.75,6871.7,3.62
1408,2030-BTZRO,No,Hombre,0,Si,Si,6,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Credit card (automatic),20.4,107.6,0.68
1409,2034-CGRHZ,Si,Hombre,1,No,No,24,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,Month-to-month,Si,Credit card (automatic),102.95,2496.7,3.43
1410,2034-GDRCN,Si,Mujer,0,No,No,2,Si,No,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,90.4,168.2,3.01
1411,2037-SGXHH,Si,Hombre,0,Si,Si,38,Si,Si,Fiber optic,No,Si,Si,No,Si,No,Month-to-month,Si,Electronic check,94.65,3624.3,3.16
1412,2037-XJFUP,Si,Hombre,0,Si,No,33,Si,No,Fiber optic,No,No,Si,No,Si,Si,One year,Si,Electronic check,95.8,3036.75,3.19
1413,2038-LLMLM,No,Mujer,0,No,No,48,Si,Si,Fiber optic,No,No,Si,Si,Si,Si,Month-to-month,Si,Electronic check,103.85,4946.05,3.46
1414,2038-OEQZH,No,Hombre,0,No,No,4,Si,No,Fiber optic,No,No,Si,No,No,Si,Month-to-month,No,Electronic check,86.05,308.1,2.87
1415,2038-YSEZE,No,Mujer,0,No,No,29,Si,Si,DSL,Si,Si,No,Si,No,No,Month-to-month,No,Mailed check,67.45,1801.1,2.25
1416,2039-JONDJ,No,Hombre,0,No,No,27,Si,No,DSL,Si,Si,No,No,No,No,One year,No,Bank transfer (automatic),55.45,1477.65,1.85
1417,2040-LDIWQ,No,Hombre,0,Si,Si,65,Si,Si,DSL,No,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),84.2,5324.5,2.81
1418,2040-OBMLJ,No,Hombre,0,No,No,31,Si,Si,Fiber optic,No,No,No,Si,No,No,One year,No,Credit card (automatic),81.7,2548.65,2.72
1419,2040-VZIKE,No,Mujer,0,Si,No,49,Si,Si,Fiber optic,Si,No,No,No,Si,Si,Month-to-month,Si,Mailed check,100.85,4847.35,3.36
1420,2040-XBAVJ,No,Hombre,0,Si,Si,72,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),114.45,8100.55,3.82
1421,2041-JIJCI,No,Mujer,0,No,No,5,Si,Si,DSL,No,Si,No,No,No,Si,Month-to-month,Si,Electronic check,64.0,370.25,2.13
1422,2043-WVTQJ,No,Hombre,0,Si,No,1,Si,No,DSL,Si,No,Si,No,No,No,Month-to-month,No,Mailed check,55.7,55.7,1.86
1423,2045-BMBTJ,No,Mujer,1,No,No,33,No,No phone service,DSL,Si,Si,Si,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),59.45,1884.65,1.98
1424,2049-BAFNW,No,Mujer,0,No,No,1,No,No phone service,DSL,No,No,Si,Si,No,No,Month-to-month,No,Mailed check,35.9,35.9,1.2
1425,2050-ONYDQ,No,Mujer,0,Si,Si,65,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.0,1654.85,0.87
1426,2054-PJOCK,No,Mujer,0,No,No,60,Si,Si,DSL,No,No,Si,Si,Si,Si,One year,No,Credit card (automatic),80.55,4847.05,2.68
1427,2055-BFOCC,No,Hombre,1,Si,No,63,Si,No,DSL,Si,Si,Si,Si,Si,Si,One year,Si,Bank transfer (automatic),84.0,5329.55,2.8
1428,2055-PDADH,Si,Mujer,1,No,No,3,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,70.4,204.7,2.35
1429,2055-SIFSS,No,Mujer,1,Si,No,55,Si,Si,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.65,2838.55,1.72
1430,2056-EVGZL,No,Hombre,0,Si,Si,68,Si,No,Fiber optic,No,Si,Si,Si,Si,Si,One year,No,Credit card (automatic),105.75,7322.5,3.52
1431,2057-BOYKM,No,Mujer,1,Si,No,72,Si,Si,Fiber optic,Si,Si,Si,Si,No,No,Two year,Si,Bank transfer (automatic),96.6,6827.5,3.22
1432,2057-ZBLPD,Si,Mujer,0,Si,No,21,Si,Si,Fiber optic,No,No,No,No,No,Si,Month-to-month,Si,Electronic check,86.5,1808.7,2.88
1433,2058-DCJBE,Si,Hombre,0,No,No,5,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,69.75,324.6,2.33
1434,2061-VVFST,No,Mujer,0,Si,No,37,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.5,805.2,0.65
1435,2065-MMKGR,No,Mujer,0,No,No,29,Si,Si,DSL,No,No,No,No,Si,Si,One year,Si,Credit card (automatic),71.0,2080.1,2.37
1436,2067-QYTCF,No,Mujer,0,Si,No,64,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,Month-to-month,Si,Electronic check,111.15,6953.4,3.7
1437,2068-WWXQZ,No,Hombre,0,No,No,46,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.05,902.0,0.67
1438,2070-FNEXE,Si,Mujer,1,No,No,7,Si,No,Fiber optic,Si,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,2.55
1439,2070-XYMFH,No,Mujer,1,No,No,23,Si,Si,Fiber optic,No,No,Si,No,No,No,Month-to-month,Si,Mailed check,79.35,1835.3,2.64
1440,2072-ZVJJX,No,Hombre,0,Si,No,68,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.25,1728.2,0.84
1441,2073-QBVBI,No,Mujer,0,Si,No,41,No,No phone service,DSL,No,Si,No,Si,No,No,One year,No,Mailed check,35.45,1391.65,1.18
1442,2074-GKOWZ,Si,Hombre,0,Si,Si,2,Si,No,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),89.55,185.55,2.98
1443,2074-GUHPQ,No,Mujer,0,No,Si,17,Si,Si,Fiber optic,No,Si,Si,Si,No,No,Month-to-month,Si,Credit card (automatic),92.7,1556.85,3.09
1444,2075-PUEPR,No,Hombre,0,Si,Si,55,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.35,1153.25,0.64
1445,2075-RMJIK,No,Mujer,0,Si,Si,5,Si,No,DSL,Si,No,No,No,No,No,Month-to-month,Si,Mailed check,49.4,232.55,1.65
1446,2077-DDHJK,No,Mujer,0,Si,No,68,Si,Si,DSL,Si,Si,Si,Si,No,No,Two year,No,Credit card (automatic),70.9,4911.35,2.36
1447,2077-MPJQO,No,Hombre,1,Si,No,7,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,75.4,533.05,2.51
1448,2079-FBMZK,Si,Mujer,0,No,No,6,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Mailed check,69.25,418.4,2.31
1449,2080-CAZNM,No,Mujer,1,No,No,41,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,Month-to-month,Si,Electronic check,104.4,4133.95,3.48
1450,2080-GKCWQ,No,Hombre,0,No,No,2,Si,No,Fiber optic,No,Si,No,No,No,No,Month-to-month,No,Electronic check,74.95,151.75,2.5
1451,2080-SRCDE,No,Mujer,0,No,Si,1,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.4,25.4,0.85
1452,2081-KJSQF,No,Hombre,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,20.25,20.25,0.68
1453,2081-VEYEH,No,Hombre,0,No,No,3,Si,No,Fiber optic,No,Si,Si,Si,Si,Si,Month-to-month,Si,Electronic check,107.95,318.6,3.6
1454,2082-CEFLT,Si,Hombre,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Month-to-month,Si,Electronic check,45.6,45.6,1.52
1455,2082-OJVTK,Si,Hombre,0,Si,Si,29,Si,Si,Fiber optic,No,No,Si,No,No,Si,Month-to-month,Si,Electronic check,89.2,2698.35,2.97
1456,2085-BOJKI,No,Hombre,0,Si,No,17,Si,No,Fiber optic,No,No,Si,No,Si,Si,One year,Si,Bank transfer (automatic),96.65,1588.25,3.22
1457,2085-JVGAD,No,Hombre,0,Si,No,37,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.35,697.65,0.68
1458,2087-QAREY,No,Mujer,0,Si,No,22,Si,No,DSL,No,Si,Si,No,No,No,Month-to-month,Si,Mailed check,54.7,1178.75,1.82
1459,2088-IEBAU,No,Mujer,0,No,No,68,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,Si,Electronic check,88.15,6148.45,2.94
1460,2091-GPPIQ,No,Mujer,0,Si,Si,72,Si,Si,DSL,No,Si,No,Si,Si,Si,Two year,Si,Electronic check,78.95,5730.15,2.63
1461,2091-MJTFX,Si,Mujer,0,Si,Si,30,No,No phone service,DSL,No,No,No,Si,Si,Si,Month-to-month,No,Credit card (automatic),51.2,1561.5,1.71
1462,2091-RFFBA,Si,Mujer,1,No,No,31,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,73.9,2217.15,2.46
1463,2096-XOTMO,No,Mujer,0,Si,Si,16,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.35,275.9,0.64
1464,2097-YVPKN,No,Hombre,0,No,No,65,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.75,1654.75,0.86
1465,2100-BDNSN,Si,Mujer,0,Si,No,5,Si,Si,DSL,No,No,Si,Si,Si,No,Month-to-month,No,Bank transfer (automatic),67.95,350.3,2.26
1466,2101-RANCD,No,Mujer,0,No,No,55,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,73.1,4144.9,2.44
1467,2103-ZRXFN,No,Hombre,0,No,No,1,Si,Si,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,50.75,50.75,1.69
1468,2105-PHWON,No,Mujer,0,Si,No,33,Si,Si,Fiber optic,No,No,Si,Si,No,Si,Month-to-month,Si,Credit card (automatic),95.0,3008.15,3.17
1469,2107-FBPTK,No,Mujer,1,No,No,30,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,Month-to-month,Si,Electronic check,104.1,3121.1,3.47
1470,2108-GLPQB,No,Hombre,0,Si,No,25,Si,Si,DSL,No,No,Si,No,No,No,Month-to-month,No,Credit card (automatic),55.55,1405.3,1.85
1471,2108-XWMPY,Si,Hombre,0,No,No,3,No,No phone service,DSL,Si,Si,No,No,No,No,Month-to-month,Si,Mailed check,35.45,106.85,1.18
1472,2108-YKQTY,Si,Mujer,0,No,No,4,Si,No,DSL,No,Si,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,1.69
1473,2111-DWYHN,No,Hombre,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.1,21.1,0.7
1474,2114-MGINA,Si,Mujer,0,No,No,14,Si,No,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Mailed check,89.8,1129.1,2.99
1475,2115-BFTIW,Si,Hombre,0,No,No,25,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.95,1767.35,2.37
1476,2120-SMPEX,No,Hombre,0,No,No,25,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,20.15,536.35,0.67
1477,2121-JAFOM,No,Mujer,0,Si,No,72,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Credit card (automatic),115.55,8312.4,3.85
1478,2122-SZZZD,No,Hombre,0,No,No,44,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.5,835.5,0.65
1479,2122-YWVYA,No,Mujer,0,No,No,18,Si,No,Fiber optic,Si,No,No,No,No,No,Month-to-month,Si,Electronic check,75.4,1380.4,2.51
1480,2123-AGEEN,No,Mujer,1,No,No,7,Si,No,Fiber optic,No,No,Si,No,Si,No,Month-to-month,Si,Electronic check,84.35,609.65,2.81
1481,2123-VSCOT,No,Mujer,0,Si,Si,59,Si,Si,DSL,No,No,Si,Si,Si,No,Two year,Si,Bank transfer (automatic),72.1,4194.85,2.4
1482,2126-GSEGL,No,Mujer,0,Si,No,70,Si,Si,DSL,No,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),84.8,5917.55,2.83
1483,2129-ALKBS,No,Mujer,0,Si,Si,40,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Electronic check,26.2,1077.5,0.87
1484,2133-TSRRM,No,Mujer,0,No,Si,34,Si,No,Fiber optic,Si,Si,Si,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),105.35,3688.6,3.51
1485,2135-DQWAQ,No,Mujer,0,No,No,5,Si,No,Fiber optic,No,Si,No,No,Si,No,Month-to-month,Si,Mailed check,85.3,420.45,2.84
1486,2135-RXIHG,Si,Hombre,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Month-to-month,Si,Electronic check,45.65,45.65,1.52
1487,2137-DQMEV,No,Hombre,0,Si,Si,68,No,No phone service,DSL,Si,Si,No,No,Si,No,One year,No,Mailed check,44.8,2983.65,1.49
1488,2138-VFAPZ,No,Mujer,0,Si,Si,14,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Mailed check,19.7,263.65,0.66
1489,2139-FQHLM,No,Hombre,0,No,No,19,Si,No,Fiber optic,No,No,Si,Si,Si,No,Month-to-month,No,Mailed check,89.95,1682.4,3.0
1490,2141-RRYGO,Si,Mujer,0,No,No,4,Si,No,DSL,No,Si,No,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),68.65,261.25,2.29
1491,2143-LJULT,No,Mujer,0,Si,No,67,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Credit card (automatic),25.25,1733.15,0.84
1492,2144-BFDSO,No,Mujer,1,Si,No,50,Si,Si,Fiber optic,Si,Si,Si,No,Si,Si,Month-to-month,No,Bank transfer (automatic),108.75,5431.9,3.62
1493,2144-ESWKO,No,Hombre,0,No,No,43,No,No phone service,DSL,Si,No,Si,No,No,No,One year,Si,Credit card (automatic),35.2,1463.7,1.17
1494,2146-EGVDT,No,Hombre,0,Si,Si,59,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.3,1192.7,0.64
1495,2150-OEGBV,No,Hombre,0,No,No,27,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.1,562.6,0.67
1496,2150-UWTFY,Si,Mujer,0,Si,Si,22,Si,No,DSL,Si,Si,Si,No,No,No,Month-to-month,No,Mailed check,61.15,1422.05,2.04
1497,2150-WLKUW,No,Mujer,0,Si,No,40,Si,Si,DSL,No,Si,No,No,Si,No,One year,No,Bank transfer (automatic),63.9,2635.0,2.13
1498,2153-MREFK,Si,Mujer,0,Si,No,37,Si,Si,Fiber optic,Si,No,Si,Si,No,Si,One year,Si,Electronic check,99.2,3754.6,3.31
1499,2154-KVJFF,Si,Mujer,0,No,No,15,Si,Si,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Electronic check,79.75,1111.85,2.66
1500,2155-AMQRX,No,Mujer,0,No,No,28,Si,Si,DSL,No,No,No,Si,No,No,Month-to-month,Si,Credit card (automatic),54.9,1505.15,1.83
1501,2157-MXBJS,Si,Hombre,0,Si,No,13,Si,Si,DSL,No,No,Si,No,Si,Si,One year,Si,Mailed check,75.3,989.45,2.51
1502,2159-TURXX,No,Hombre,0,No,No,5,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.05,95.55,0.67
1503,2160-GPFXD,No,Hombre,0,Si,Si,54,Si,Si,DSL,Si,Si,No,Si,No,No,Two year,Si,Credit card (automatic),65.65,3566.7,2.19
1504,2162-FRZAA,No,Hombre,0,Si,Si,63,No,No phone service,DSL,No,Si,Si,Si,No,No,Two year,No,Bank transfer (automatic),39.35,2395.05,1.31
1505,2164-SOQXL,No,Mujer,0,Si,Si,20,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,406.05,0.67
1506,2165-VOEGB,Si,Mujer,0,No,Si,46,Si,No,Fiber optic,Si,Si,No,Si,Si,Si,One year,Si,Bank transfer (automatic),105.2,4822.85,3.51
1507,2167-FQSTQ,No,Mujer,0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,Si,Electronic check,92.4,6786.1,3.08
1508,2169-RRLFW,No,Mujer,0,Si,No,71,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.6,1888.25,0.85
1509,2171-UDMFD,No,Hombre,0,Si,Si,32,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Credit card (automatic),19.45,674.55,0.65
1510,2172-EJXVF,No,Mujer,1,No,No,71,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,One year,Si,Electronic check,105.9,7521.95,3.53
1511,2176-LVPNX,No,Mujer,1,No,No,71,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Mailed check,89.85,6293.45,2.99
1512,2176-OSJUV,No,Hombre,0,Si,No,71,Si,Si,DSL,Si,Si,No,Si,No,No,Two year,No,Bank transfer (automatic),65.15,4681.75,2.17
1513,2178-PMGCJ,No,Hombre,0,No,No,22,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Mailed check,69.7,1490.4,2.32
1514,2180-DXNEG,Si,Mujer,0,No,No,12,Si,No,Fiber optic,No,No,Si,No,Si,Si,Month-to-month,Si,Electronic check,96.0,1062.1,3.2
1515,2181-TIDSV,No,Hombre,0,Si,Si,68,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Bank transfer (automatic),19.95,1303.25,0.66
1516,2181-UAESM,No,Hombre,0,No,No,2,Si,No,DSL,Si,No,Si,No,No,No,Month-to-month,No,Electronic check,53.45,119.5,1.78
1518,2186-QZEYA,No,Mujer,1,No,No,29,Si,Si,DSL,Si,Si,No,No,No,No,Month-to-month,Si,Bank transfer (automatic),58.55,1718.95,1.95
1519,2187-LZGPL,Si,Mujer,0,No,No,7,No,No phone service,DSL,No,Si,No,No,No,Si,Month-to-month,Si,Credit card (automatic),40.1,293.3,1.34
1520,2187-PKZAY,No,Hombre,0,No,No,12,Si,No,Fiber optic,No,No,No,No,No,Si,Month-to-month,Si,Bank transfer (automatic),79.95,1043.4,2.66
1521,2188-SXWVT,No,Mujer,0,No,No,34,Si,No,DSL,Si,Si,No,No,No,No,One year,No,Mailed check,55.0,1885.15,1.83
1522,2189-UXTKY,Si,Mujer,0,Si,No,22,Si,Si,DSL,Si,No,No,Si,Si,Si,Month-to-month,Si,Electronic check,79.2,1742.75,2.64
1523,2189-WWOEW,Si,Mujer,0,No,Si,15,Si,No,Fiber optic,No,Si,No,No,No,Si,Month-to-month,Si,Bank transfer (automatic),85.9,1269.55,2.86
1524,2190-BCXEC,No,Mujer,0,Si,No,40,Si,Si,Fiber optic,No,No,No,Si,No,No,Month-to-month,Si,Credit card (automatic),78.85,3126.85,2.63
1525,2190-PHBHR,No,Mujer,0,Si,No,72,Si,Si,Fiber optic,Si,Si,No,No,No,Si,Two year,Si,Credit card (automatic),94.45,6921.7,3.15
1526,2192-CKRLV,No,Mujer,0,Si,No,72,No,No phone service,DSL,Si,Si,Si,No,No,Si,Two year,Si,Electronic check,49.2,3580.95,1.64
1527,2192-OZITF,No,Mujer,0,No,No,45,Si,Si,DSL,Si,No,No,Si,No,Si,Two year,No,Mailed check,73.55,3349.1,2.45
1528,2193-SFWQW,No,Hombre,0,Si,Si,72,Si,No,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),111.95,8033.1,3.73
1529,2194-IIQOF,No,Mujer,0,Si,No,71,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Credit card (automatic),89.3,6388.65,2.98
1530,2195-VVRJF,No,Hombre,1,Si,No,18,Si,No,DSL,Si,No,No,No,No,Si,Month-to-month,Si,Credit card (automatic),59.1,1011.05,1.97
1531,2195-ZRVAX,Si,Mujer,0,Si,No,47,Si,No,Fiber optic,No,No,Si,No,No,Si,Month-to-month,Si,Electronic check,85.3,4045.65,2.84
1532,2197-OMWGI,No,Mujer,1,Si,Si,68,No,No phone service,DSL,No,Si,Si,No,Si,Si,Two year,Si,Electronic check,53.0,3656.25,1.77
1533,2200-DSAAL,No,Mujer,0,No,No,68,Si,Si,DSL,No,Si,Si,No,Si,Si,Two year,Si,Electronic check,80.65,5330.2,2.69
1534,2202-CUYXZ,Si,Hombre,0,No,No,1,Si,No,Fiber optic,No,No,Si,No,Si,No,Month-to-month,Si,Electronic check,84.85,84.85,2.83
1535,2202-OUTMO,No,Mujer,0,Si,No,34,Si,Si,DSL,Si,No,No,Si,No,No,Month-to-month,Si,Bank transfer (automatic),60.85,2003.6,2.03
1536,2203-GHNWN,No,Mujer,0,Si,No,24,Si,Si,Fiber optic,No,No,Si,No,No,No,Month-to-month,Si,Mailed check,79.65,1928.7,2.66
1537,2205-LPVGL,No,Hombre,1,Si,Si,58,Si,Si,Fiber optic,Si,Si,No,Si,No,No,One year,Si,Bank transfer (automatic),89.85,5125.75,2.99
1538,2205-YMZZJ,Si,Hombre,1,No,No,7,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,84.8,546.95,2.83
1539,2207-NHRJK,Si,Hombre,0,No,No,1,Si,No,DSL,No,Si,No,No,No,No,Month-to-month,No,Electronic check,50.8,50.8,1.69
1540,2207-OBZNX,Si,Hombre,0,No,No,7,Si,No,DSL,Si,No,No,No,No,No,Month-to-month,Si,Mailed check,51.0,354.05,1.7
1541,2207-QPJED,No,Mujer,1,Si,No,37,Si,No,Fiber optic,No,No,Si,Si,Si,No,Month-to-month,No,Electronic check,90.0,3371.75,3.0
1542,2207-RYYRL,No,Hombre,0,Si,Si,52,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.55,1331.05,0.82
1543,2208-MPXIO,No,Mujer,0,Si,Si,45,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Bank transfer (automatic),20.0,886.4,0.67
1544,2208-NKVVH,No,Hombre,0,Si,Si,43,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.25,1077.95,0.81
1545,2208-NQBCT,No,Mujer,0,Si,Si,26,Si,No,Fiber optic,Si,Si,No,No,No,No,Month-to-month,No,Electronic check,81.95,2070.05,2.73
1546,2208-UGTGR,No,Hombre,0,No,No,56,Si,Si,Fiber optic,No,Si,No,No,Si,Si,Month-to-month,No,Electronic check,98.6,5581.05,3.29
1547,2209-XADXF,No,Mujer,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),25.25,25.25,0.84
1548,2211-RMNHO,No,Mujer,0,Si,Si,68,Si,Si,DSL,No,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),85.3,5560.0,2.84
1549,2212-LYASK,No,Hombre,0,Si,Si,27,No,No phone service,DSL,No,Si,Si,No,No,Si,One year,Si,Credit card (automatic),45.85,1246.4,1.53
1550,2215-ZAFGX,No,Hombre,0,No,No,9,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,85.5,791.7,2.85
1551,2219-MVUSO,Si,Hombre,0,No,No,8,Si,No,DSL,No,No,No,No,No,No,Month-to-month,Si,Mailed check,45.15,438.4,1.5
1552,2220-IAHLS,No,Mujer,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.4,19.4,0.65
1553,2223-GDSHL,No,Hombre,0,Si,Si,71,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),116.05,8297.5,3.87
1554,2223-KAGMX,Si,Mujer,0,No,No,15,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4,289.3,0.65
1555,2225-ZRGSG,Si,Mujer,0,Si,Si,70,Si,Si,Fiber optic,Si,Si,Si,Si,No,No,Two year,No,Bank transfer (automatic),93.9,6579.05,3.13
1556,2226-ICFDO,No,Mujer,0,Si,Si,72,Si,Si,DSL,Si,No,Si,Si,Si,Si,Two year,Si,Credit card (automatic),85.9,6110.75,2.86
1557,2227-JRSJX,No,Mujer,0,No,No,21,Si,No,Fiber optic,No,Si,No,Si,Si,Si,Month-to-month,Si,Bank transfer (automatic),99.15,1956.4,3.3
1558,2228-BZDEE,No,Mujer,0,No,No,54,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.1,1079.45,0.67
1559,2229-DPMBI,No,Mujer,0,Si,Si,8,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.5,162.15,0.65
1560,2229-VWQJH,No,Mujer,0,No,No,24,Si,No,DSL,No,No,Si,No,No,No,Month-to-month,Si,Credit card (automatic),49.3,1233.25,1.64
1561,2230-XTUWL,No,Mujer,0,Si,Si,48,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,883.35,0.65
1562,2232-DMLXU,Si,Mujer,0,Si,No,1,Si,No,DSL,No,No,No,No,Si,No,Month-to-month,No,Mailed check,55.2,55.2,1.84
1563,2233-FAGXV,No,Mujer,0,Si,Si,5,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,24.3,132.25,0.81
1564,2233-TXSIU,No,Hombre,0,Si,Si,17,No,No phone service,DSL,Si,No,Si,No,Si,No,One year,No,Credit card (automatic),44.45,792.15,1.48
1565,2234-EOFPT,No,Hombre,0,Si,No,72,Si,No,DSL,Si,Si,No,Si,Si,Si,Two year,Si,Bank transfer (automatic),79.35,5753.25,2.64
1566,2234-XADUH,No,Mujer,0,Si,Si,72,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,One year,Si,Credit card (automatic),103.2,7362.9,3.44
1567,2235-DWLJU,No,Mujer,1,No,No,6,No,No phone service,DSL,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,44.4,263.05,1.48
1568,2235-EZAIK,No,Mujer,0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,No,Two year,No,Credit card (automatic),79.2,5401.9,2.64
